UserID	Date	Stake	Winnings	Bets
1363150	7/5/2006	485	-150	4
1383941	8/21/2006	16.5	-121	8
1391558	9/8/2006	4	-100	2
1333544	2/25/2007	0	-91	0
1345514	12/28/2006	0	-50	0
1374560	6/8/2005	5	-40	1
1379703	12/10/2005	100	-40	5
1325682	10/19/2005	3	-39	2
1335498	3/5/2005	0	-25	0
1339459	9/27/2006	5	-25	1
1361035	2/19/2005	5	-20	5
1365042	9/14/2006	16	-20	3
1390349	1/20/2007	13	-17	4
1335096	3/10/2005	3	-15	3
1350206	8/1/2006	0	-15	0
1393138	11/30/2006	38	-14	5
1364109	3/2/2005	0	-13	0
1368094	11/22/2005	0	-12	0
1344193	7/8/2005	10.75	-10	4
1359184	7/13/2006	0	-10	0
1350679	12/1/2005	0	-6	0
1325824	6/5/2005	0	-5	0
1330571	10/19/2005	0	-5	0
1332736	10/1/2006	.5	-5	2
1347027	4/16/2005	0	-5	0
1357054	1/31/2007	0	-5	0
1377347	8/6/2006	0	-5	0
1384908	4/12/2005	0	-5	0
1391262	7/27/2006	3	-5	2
1330571	3/10/2005	1.5	-4	1
1344193	12/24/2005	0	-4	0
1343998	8/10/2005	0	-3	0
1345558	12/5/2006	0	-3	0
1347733	3/8/2005	0	-3	0
1380187	4/14/2006	2	-3	2
1388672	8/6/2005	61	-3	3
1325854	12/29/2005	7	-2	4
1344193	2/3/2006	2	-2	1
1349860	10/10/2005	0	-2	0
1349860	6/30/2006	2	-2	1
1354922	10/11/2005	3	-2	3
1361493	4/8/2005	0	-2	0
1363161	7/1/2005	0	-2	0
1378720	8/16/2006	0	-2	0
1387282	3/2/2006	2.5	-2	2
1394775	2/27/2005	0	-2	0
1325854	7/11/2006	4	-1.25	4
1346421	6/18/2006	0	-1.25	0
1324533	2/9/2005	3	-1	3
1339943	4/18/2005	0	-1	0
1343161	10/5/2005	2	-1	2
1344397	8/3/2005	6	-1	1
1347649	11/4/2005	0	-1	0
1355614	6/22/2005	0	-1	0
1357016	7/20/2005	0	-1	0
1363790	3/4/2006	0	-1	0
1364593	1/24/2006	4	-1	1
1371959	7/9/2005	0	-1	0
1377527	3/2/2005	6	-1	6
1394220	12/1/2005	0	-1	0
1397462	10/6/2005	0	-1	0
1398363	2/25/2006	0	-1	0
1401233	10/14/2005	1	-1	1
1401545	11/25/2006	4	-1	4
1404007	3/12/2005	18	-1	2
1361214	2/25/2006	2	-.5	2
1378140	11/2/2005	1.5	-.5	2
1387282	3/19/2006	.5	-.5	1
1331247	9/2/2005	0	-.25	0
1356569	12/18/2005	0	-.25	0
1358973	5/9/2006	0	-.25	0
1403120	3/20/2006	0	-.25	0
1324364	9/16/2006	0	0	14
1324369	3/5/2006	1	0	1
1324369	3/11/2006	0	0	1
1324369	4/15/2006	1	0	7
1324369	4/30/2006	0	0	4
1324369	6/5/2006	0	0	7
1324369	3/1/2005	2	0	2
1324377	8/18/2006	6	0	1
1324377	9/4/2006	2	0	1
1324377	5/18/2006	6	0	2
1324386	8/12/2005	9	0	4
1324386	12/30/2005	3	0	2
1324399	4/9/2006	10	0	2
1324399	1/3/2007	10	0	2
1324400	2/18/2005	1.5	0	2
1324408	2/9/2005	3	0	1
1324408	5/3/2005	2	0	2
1324466	5/8/2006	1	0	1
1324503	2/2/2005	5	0	2
1324503	2/9/2005	28	0	7
1324503	2/23/2005	28	0	6
1324503	3/9/2005	12	0	4
1324503	3/16/2005	17	0	3
1324503	5/7/2005	11	0	2
1324503	5/23/2005	10	0	1
1324582	6/6/2006	0	0	1
1324675	2/22/2005	57	0	1
1324749	11/17/2005	10	0	2
1324749	5/27/2006	5	0	1
1324868	11/25/2005	1.3499	0	2
1324868	11/30/2005	0	0	7
1324868	1/16/2006	0	0	1
1324868	1/28/2006	0	0	1
1324868	2/1/2006	0	0	1
1324868	2/2/2006	0	0	1
1324883	2/22/2005	4	0	8
1324888	2/15/2005	1	0	1
1324888	2/22/2005	1	0	1
1324888	9/14/2005	1	0	1
1324935	3/18/2005	340	0	3
1324935	3/21/2005	20	0	1
1324935	4/9/2005	10	0	1
1324935	9/15/2005	30	0	3
1324935	10/8/2005	10	0	1
1324942	10/27/2006	0	0	1
1324942	10/28/2006	0	0	5
1324942	11/4/2006	0	0	1
1324944	1/30/2006	0	0	12
1324944	7/9/2006	0	0	3
1324944	7/27/2006	0	0	4
1324944	8/2/2006	0	0	3
1324944	8/11/2006	0	0	22
1324944	8/13/2006	0	0	1
1324944	4/4/2006	15	0	5
1324944	5/25/2006	4	0	3
1324944	7/9/2006	.35	0	3
1324991	12/20/2005	0	0	9
1324991	12/27/2005	0	0	9
1324991	1/3/2006	0	0	6
1324991	1/17/2006	0	0	3
1324991	2/19/2006	0	0	1
1324991	2/26/2006	0	0	1
1324991	3/7/2006	0	0	1
1324991	3/30/2006	0	0	1
1324991	8/1/2006	0	0	1
1324991	10/9/2006	0	0	1
1324991	1/12/2007	0	0	2
1325027	2/9/2006	0	0	3
1325027	4/5/2006	0	0	10
1325080	4/9/2005	5	0	1
1325080	4/10/2005	20	0	3
1325080	11/30/2005	10	0	2
1325080	12/10/2005	25	0	1
1325080	12/15/2005	25	0	1
1325080	12/19/2005	55	0	2
1325080	1/11/2006	50	0	2
1325080	4/6/2006	11	0	2
1325155	7/7/2006	9	0	1
1325161	3/30/2005	1	0	1
1325161	5/6/2005	15	0	1
1325161	6/16/2006	10	0	1
1325165	4/12/2006	.2	0	3
1325187	6/13/2005	5	0	1
1325189	2/4/2005	0	0	9
1325189	2/8/2005	0	0	2
1325189	2/13/2005	0	0	1
1325189	4/17/2005	100	0	1
1325189	5/8/2005	14	0	1
1325189	6/19/2005	100	0	1
1325215	12/21/2005	6	0	2
1325215	2/16/2006	4	0	4
1325237	8/7/2005	10	0	2
1325237	8/22/2005	5	0	1
1325313	7/10/2005	0	0	53
1325318	3/19/2005	12	0	1
1325318	6/9/2005	17	0	1
1325318	10/6/2005	10	0	1
1325318	2/7/2006	10	0	1
1325337	2/23/2005	5	0	1
1325337	4/1/2005	20	0	1
1325337	6/18/2005	9	0	1
1325337	2/3/2005	5	0	1
1325337	6/1/2005	5	0	1
1325337	1/21/2006	10	0	1
1325337	3/18/2006	15	0	3
1325337	3/21/2006	5	0	1
1325337	4/5/2006	5	0	1
1325337	4/10/2006	5	0	1
1325337	4/22/2006	10	0	1
1325337	5/5/2006	5	0	1
1325337	2/24/2007	5	0	1
1325353	2/3/2005	1.5	0	1
1325410	9/19/2006	9	0	1
1325410	10/24/2006	1	0	2
1325444	2/4/2007	20	0	4
1325465	2/7/2005	0	0	5
1325465	2/9/2005	29	0	2
1325492	5/30/2005	0	0	1
1325492	5/31/2005	0	0	3
1325492	6/1/2005	0	0	2
1325492	6/2/2005	0	0	10
1325492	6/3/2005	0	0	3
